Home_Team,Away_Team
Betis,Valencia
Como,Inter
Napoli,Cagliari
Real Madrid,Real Sociedad
Espanyol,Las Palmas
Leganés,Valladolid
Alavés,Osasuna
Getafe,Celta Vigo
Rayo Vallecano,Mallorca
Bologna,Genoa
Milan,Monza
Bournemouth,Leicester City
Fulham,Manchester City
Ipswich Town,West Ham
Liverpool,Crystal Palace
Manchester Utd,Aston Villa
Newcastle Utd,Everton
Nott'ham Forest,Chelsea
Southampton,Arsenal
Tottenham,Brighton
Wolves,Brentford
Girona,Atlético Madrid
Villarreal,Sevilla
Athletic Club,Barcelona
Atalanta,Parma
Empoli,Hellas Verona
Lazio,Lecce
Torino,Roma
Udinese,Fiorentina
Venezia,Juventus
